Pixel Index,ANOVA Score,p-value,Status,Rank
2269,20.987243940160162,2.6200114645688014e-24,Kept,141.0
841,20.959101005412958,2.8352322279033215e-24,Kept,142.0
1113,20.952206093787588,2.890603080146882e-24,Kept,143.0
2124,20.91976687868721,3.165979552188685e-24,Kept,144.0
551,20.90914329676908,3.261748786476058e-24,Kept,145.0
1521,20.859092014120073,3.753416784376309e-24,Kept,146.0
455,20.803850208562718,4.382551374483599e-24,Kept,147.0
1472,20.801408983687026,4.412666770299984e-24,Kept,148.0
1065,20.797475035273166,4.461632741329696e-24,Kept,149.0
1838,20.79144162254485,4.537788640166827e-24,Kept,150.0
2172,20.748801754177453,5.114369790840012e-24,Eliminated,151.0
1423,20.744183404664756,5.1810602798902546e-24,Eliminated,152.0
1362,20.721743156698455,5.517693359608093e-24,Eliminated,153.0
2223,20.708187200398694,5.7315593269948436e-24,Eliminated,154.0
1740,20.662461285614746,6.5159970248118976e-24,Eliminated,155.0
1569,20.634866476355437,7.040441257624507e-24,Eliminated,156.0
549,20.62382319320378,7.261963043004285e-24,Eliminated,157.0
1114,20.606719100243808,7.618898169642842e-24,Eliminated,158.0
2027,20.589201341573414,8.002658996126085e-24,Eliminated,159.0
1790,20.57998795419111,8.212192664719683e-24,Eliminated,160.0
1601,20.574980899985377,8.328356522686404e-24,Eliminated,161.0
501,20.572128673356215,8.395261441401726e-24,Eliminated,162.0
599,20.56980089668944,8.450262428170882e-24,Eliminated,163.0
1520,20.462428311099927,1.1420488351526235e-23,Eliminated,164.0
2075,20.431584576100555,1.245267038366085e-23,Eliminated,165.0
1167,20.425169331390297,1.2678806710368452e-23,Eliminated,166.0
1742,20.415299089072278,1.3034776967860505e-23,Eliminated,167.0
1739,20.32142822626966,1.6961714153236298e-23,Eliminated,168.0
1933,20.29991679618222,1.8016811722354634e-23,Eliminated,169.0
2030,20.2784616977297,1.9134518314671684e-23,Eliminated,170.0
1314,20.260296602183143,2.0134868846533948e-23,Eliminated,171.0
553,20.224174559749123,2.228218600404853e-23,Eliminated,172.0
2029,20.223003938286823,2.2355480717093718e-23,Eliminated,173.0
1545,20.221128483198147,2.2473409208862363e-23,Eliminated,174.0
2220,20.15206594282037,2.72778961849992e-23,Eliminated,175.0
1982,20.078004260768523,3.3577131224071083e-23,Eliminated,176.0
600,20.04804306371442,3.652133949719852e-23,Eliminated,177.0
1217,20.039133608664713,3.744566083360518e-23,Eliminated,178.0
1471,20.032984635280034,3.809720180149368e-23,Eliminated,179.0
552,20.025562829207836,3.8898728763269985e-23,Eliminated,180.0
1932,19.99027301413166,4.294678159294383e-23,Eliminated,181.0
1934,19.983644395332863,4.3752873007337025e-23,Eliminated,182.0
1066,19.96208638194922,4.648059687977834e-23,Eliminated,183.0
1886,19.959969552399006,4.675744019371023e-23,Eliminated,184.0
1255,19.956812406490492,4.717340475843703e-23,Eliminated,185.0
1981,19.95632746187487,4.7237624875361435e-23,Eliminated,186.0
1169,19.912070393877407,5.348210001767931e-23,Eliminated,187.0
1788,19.905896839821214,5.441642047742284e-23,Eliminated,188.0
1017,19.885429454000594,5.763234624225077e-23,Eliminated,189.0
454,19.8707058881736,6.006267504108656e-23,Eliminated,190.0
506,19.85399829004385,6.294485929117817e-23,Eliminated,191.0
1160,19.830118742066304,6.730599457260394e-23,Eliminated,192.0
504,19.82131971883745,6.898806575425234e-23,Eliminated,193.0
554,19.797038228143585,7.385112571713818e-23,Eliminated,194.0
1375,19.794993276014452,7.427601047394774e-23,Eliminated,195.0
406,19.788760324255446,7.558618542706224e-23,Eliminated,196.0
1980,19.745609914101017,8.531281699504476e-23,Eliminated,197.0
1837,19.744854738893807,8.549374498070292e-23,Eliminated,198.0
1207,19.73767033059867,8.723432008523076e-23,Eliminated,199.0
1885,19.707289497575207,9.499515937147206e-23,Eliminated,200.0
2028,19.691989796816564,9.91611708562118e-23,Eliminated,201.0
500,19.67205497926412,1.0486460382933716e-22,Eliminated,202.0
407,19.64324973752797,1.1369026711798188e-22,Eliminated,203.0
358,19.62862114525725,1.1845291532670047e-22,Eliminated,204.0
1473,19.6037979354253,1.2699557803737147e-22,Eliminated,205.0
742,19.590340704683705,1.3188151162171913e-22,Eliminated,206.0
1112,19.562832794736465,1.424615005972983e-22,Eliminated,207.0
2079,19.546723459718887,1.4904722718980576e-22,Eliminated,208.0
1118,19.53378554146991,1.5455620888627392e-22,Eliminated,209.0
1690,19.526900873140306,1.57570239455927e-22,Eliminated,210.0
1570,19.52115136655466,1.6013229872836984e-22,Eliminated,211.0
1448,19.50676734719091,1.6672597733496585e-22,Eliminated,212.0
601,19.500889152265998,1.6949808118179296e-22,Eliminated,213.0
1159,19.416015335968332,2.1506398832054964e-22,Eliminated,214.0
1168,19.41056997954306,2.1837444613349293e-22,Eliminated,215.0
1170,19.385893555728682,2.3402661542475397e-22,Eliminated,216.0
1522,19.374112122524117,2.4189038964319352e-22,Eliminated,217.0
1884,19.356035856979496,2.544725585921538e-22,Eliminated,218.0
597,19.317432701629624,2.8357705350808417e-22,Eliminated,219.0
1303,19.28997392770729,3.0628371666727896e-22,Eliminated,220.0
1787,19.274928921639532,3.1948691801879125e-22,Eliminated,221.0
1422,19.2656017533578,3.279565070068141e-22,Eliminated,222.0
1836,19.259814784026997,3.3332388687461287e-22,Eliminated,223.0
1506,19.246159566216498,3.4633978288048143e-22,Eliminated,224.0
1067,19.217184782067907,3.7566593392668786e-22,Eliminated,225.0
548,19.198556109877444,3.9581905656140006e-22,Eliminated,226.0
1424,19.19315763333786,4.018588420306387e-22,Eliminated,227.0
1617,19.176383939749932,4.2121949929748377e-22,Eliminated,228.0
1887,19.167029383982573,4.32419080464785e-22,Eliminated,229.0
1122,19.14006974070093,4.663896488619399e-22,Eliminated,230.0
602,19.129025914043417,4.810643760866298e-22,Eliminated,231.0
790,19.11360681662118,5.023283477369734e-22,Eliminated,232.0
1032,19.10775944296338,5.106358527868518e-22,Eliminated,233.0
2175,19.083469657455886,5.466413593807209e-22,Eliminated,234.0
505,19.05993600545198,5.839456042426147e-22,Eliminated,235.0
2026,19.05638401385933,5.897929848247368e-22,Eliminated,236.0
1117,19.043250833029493,6.119262166246396e-22,Eliminated,237.0
1374,19.004028732682674,6.830949040043179e-22,Eliminated,238.0
1266,18.972659477297004,7.459266569750146e-22,Eliminated,239.0
1351,18.96136233387998,7.699431039280552e-22,Eliminated,240.0
1697,18.9383937605672,8.211821887628027e-22,Eliminated,241.0
2224,18.90557023879063,9.00379785578143e-22,Eliminated,242.0
2272,18.88468763460316,9.546961498688841e-22,Eliminated,243.0
794,18.875429852449432,9.798127268719453e-22,Eliminated,244.0
1519,18.861240206248976,1.0195980035024594e-21,Eliminated,245.0
1554,18.853999144340314,1.0405190978513175e-21,Eliminated,246.0
1218,18.842964879744724,1.0732280084793561e-21,Eliminated,247.0
1111,18.810342592398634,1.1760676053485242e-21,Eliminated,248.0
1935,18.79715182635774,1.2203969842968764e-21,Eliminated,249.0
2268,18.739959998128725,1.4327519228449975e-21,Eliminated,250.0
1064,18.69461610560545,1.6270740374181077e-21,Eliminated,251.0
